team,r32_count,r16_count,qf_count,sf_count,final_count,winner_count,r32_prob,r16_prob,qf_prob,sf_prob,final_prob,winner_prob,confederation,fifa_rank,rank_change,elo,form_score
Egypt,121,45,14,2,1,1,0.605,0.225,0.07,0.01,0.005,0.005,CAF,29,11,1801.4242652061284,18.0
Belgium,178,103,42,12,5,1,0.89,0.515,0.21,0.06,0.025,0.005,UEFA,9,-5,1923.023705469272,36.0
United States,152,84,32,7,3,1,0.76,0.42,0.16,0.035,0.015,0.005,CONCACAF,16,-3,1832.9494089052896,37.0
Iran,136,70,20,5,2,1,0.68,0.35,0.1,0.025,0.01,0.005,AFC,21,3,1872.963675378442,35.0
Mexico,195,122,62,23,7,1,0.975,0.61,0.31,0.115,0.035,0.005,CONCACAF,15,0,1959.693816879822,23.0
Saudi Arabia,70,12,4,0,0,0,0.35,0.06,0.02,0.0,0.0,0.0,AFC,61,-13,1687.3166217128537,4.0
Qatar,49,6,2,0,0,0,0.245,0.03,0.01,0.0,0.0,0.0,AFC,55,5,1591.4387247414088,6.0
Tunisia,95,19,6,0,0,0,0.475,0.095,0.03,0.0,0.0,0.0,CAF,44,-15,1734.5510153524017,27.0
Uruguay,183,64,41,22,6,0,0.915,0.32,0.205,0.11,0.03,0.0,CONMEBOL,17,-1,1976.0116668148607,23.0
Scotland,127,40,15,2,0,0,0.635,0.2,0.075,0.01,0.0,0.0,UEFA,43,-1,1830.6372210421189,11.0
South Korea,161,91,32,8,1,0,0.805,0.455,0.16,0.04,0.005,0.0,AFC,25,0,1877.97345245688,32.0
Paraguay,127,69,33,9,1,0,0.635,0.345,0.165,0.045,0.005,0.0,CONMEBOL,40,6,1919.3286744919253,-13.0
Sweden,91,23,9,1,0,0,0.455,0.115,0.045,0.005,0.0,0.0,UEFA,38,-15,1754.8837065122243,7.0
South Africa,61,15,1,0,0,0,0.305,0.075,0.005,0.0,0.0,0.0,CAF,60,7,1666.8081432879508,21.0
Algeria,114,31,10,1,0,0,0.57,0.155,0.05,0.005,0.0,0.0,CAF,28,10,1850.760962525782,41.0
Panama,144,50,17,3,0,0,0.72,0.25,0.085,0.015,0.0,0.0,CONCACAF,33,28,1849.740522694008,26.0
New Zealand,113,31,5,0,0,0,0.565,0.155,0.025,0.0,0.0,0.0,OFC,85,20,1766.959829703607,52.0
Jordan,85,17,2,0,0,0,0.425,0.085,0.01,0.0,0.0,0.0,AFC,63,21,1780.6534798377895,33.0
Ivory Coast,112,34,9,0,0,0,0.56,0.17,0.045,0.0,0.0,0.0,CAF,34,13,1784.240134087426,37.0
Iraq,45,8,0,0,0,0,0.225,0.04,0.0,0.0,0.0,0.0,AFC,57,11,1710.777392688835,12.0
Haiti,56,10,1,0,0,0,0.28,0.05,0.005,0.0,0.0,0.0,CONCACAF,83,4,1692.2823612432412,42.0
Ghana,22,2,0,0,0,0,0.11,0.01,0.0,0.0,0.0,0.0,CAF,74,-16,1615.8299206365696,13.0
DR Congo,72,14,3,1,0,0,0.36,0.07,0.015,0.005,0.0,0.0,CAF,46,27,1750.3992713146374,19.0
Czech Republic,118,47,16,3,1,0,0.59,0.235,0.08,0.015,0.005,0.0,UEFA,41,-2,1773.8404081524145,8.0
Curaçao,40,8,1,0,0,0,0.2,0.04,0.005,0.0,0.0,0.0,CONCACAF,82,4,1621.1621160682707,21.0
Cape Verde,55,9,2,1,0,0,0.275,0.045,0.01,0.005,0.0,0.0,CAF,69,3,1657.0037011899965,11.0
Bosnia and Herzegovina,84,12,1,0,0,0,0.42,0.06,0.005,0.0,0.0,0.0,UEFA,65,-8,1632.9608168950872,-16.0
Austria,121,36,14,4,1,0,0.605,0.18,0.07,0.02,0.005,0.0,UEFA,24,10,1872.8696908624904,32.0
Australia,126,74,18,8,2,0,0.63,0.37,0.09,0.04,0.01,0.0,AFC,27,0,1883.4191757238343,45.0
Uzbekistan,87,22,9,4,1,0,0.435,0.11,0.045,0.02,0.005,0.0,AFC,50,27,1823.3316270587825,34.0
